model_0,model_0,1.000
model_0,model_1,0.194
model_0,model_2,0.102
model_0,model_3,0.555
model_0,model_4,0.106
model_0,model_5,0.475
model_0,model_6,0.113
model_0,model_7,0.204
model_0,model_8,0.089
model_0,model_9,0.089
model_0,model_10,0.089
model_0,model_11,0.109
model_0,model_12,0.097
model_0,model_13,0.098
model_0,model_14,0.127
model_0,model_15,0.117
model_0,model_16,0.101
model_0,model_17,0.379
model_0,model_18,0.138
model_0,model_19,0.089
model_0,model_20,0.134
model_0,model_21,0.102
model_0,model_22,0.097
model_0,model_23,0.119
model_0,model_24,0.101
model_0,model_25,0.097
model_0,model_26,0.140
model_0,model_27,0.113
model_0,model_28,0.089
model_0,model_29,0.110
model_0,model_30,0.087
model_0,model_31,0.110
model_0,model_32,0.088
model_0,model_33,0.088
model_0,model_34,0.089
model_0,model_35,0.089
model_0,model_36,0.130
model_0,model_37,0.103
model_0,model_38,0.105
model_0,model_39,0.111
model_0,model_40,0.148
model_0,model_41,0.102
model_0,model_42,0.294
model_0,model_43,0.103
model_0,model_44,0.089
model_0,model_45,0.354
model_0,model_46,0.103
model_0,model_47,0.141
model_0,model_48,0.326
model_0,model_49,0.107
model_0,model_50,0.101
model_0,model_51,0.089
model_0,model_52,0.394
model_0,model_53,0.089
model_0,model_54,0.445
model_0,model_55,0.142
model_0,model_56,0.090
model_0,model_57,0.143
model_0,model_58,0.123
model_0,model_59,0.110
model_0,model_60,0.089
model_0,model_61,0.092
model_0,model_62,0.100
model_0,model_63,0.122
model_0,model_64,0.126
model_0,model_65,0.089
model_0,model_66,0.137
model_0,model_67,0.104
model_0,model_68,0.092
model_0,model_69,0.102
model_0,model_70,0.140
model_0,model_71,0.087
model_0,model_72,0.088
model_0,model_73,0.092
model_0,model_74,0.111
model_0,model_75,0.104
model_0,model_76,0.117
model_0,model_77,0.138
model_0,model_78,0.089
model_0,model_79,0.136
model_0,model_80,0.103
model_0,model_81,0.119
model_0,model_82,0.105
model_0,model_83,0.137
model_0,model_84,0.097
model_0,model_85,0.091
model_0,model_86,0.120
model_0,model_87,0.417
model_0,model_88,0.122
model_0,model_89,0.090
model_0,model_90,0.099
model_0,model_91,0.089
model_0,model_92,0.418
model_1,model_0,0.194
model_1,model_1,1.000
model_1,model_2,0.125
model_1,model_3,0.344
model_1,model_4,0.125
model_1,model_5,0.450
model_1,model_6,0.128
model_1,model_7,0.186
model_1,model_8,0.125
model_1,model_9,0.125
model_1,model_10,0.125
model_1,model_11,0.125
model_1,model_12,0.125
model_1,model_13,0.125
model_1,model_14,0.618
model_1,model_15,0.127
model_1,model_16,0.125
model_1,model_17,0.369
model_1,model_18,0.136
model_1,model_19,0.125
model_1,model_20,0.132
model_1,model_21,0.126
model_1,model_22,0.125
model_1,model_23,0.130
model_1,model_24,0.125
model_1,model_25,0.126
model_1,model_26,0.146
model_1,model_27,0.128
model_1,model_28,0.125
model_1,model_29,0.137
model_1,model_30,0.125
model_1,model_31,0.129
model_1,model_32,0.125
model_1,model_33,0.125
model_1,model_34,0.125
model_1,model_35,0.125
model_1,model_36,0.139
model_1,model_37,0.125
model_1,model_38,0.136
model_1,model_39,0.130
model_1,model_40,0.148
model_1,model_41,0.125
model_1,model_42,0.704
model_1,model_43,0.125
model_1,model_44,0.125
model_1,model_45,0.369
model_1,model_46,0.133
model_1,model_47,0.134
model_1,model_48,0.619
model_1,model_49,0.128
model_1,model_50,0.125
model_1,model_51,0.125
model_1,model_52,0.370
model_1,model_53,0.125
model_1,model_54,0.367
model_1,model_55,0.137
model_1,model_56,0.125
model_1,model_57,0.150
model_1,model_58,0.126
model_1,model_59,0.127
model_1,model_60,0.125
model_1,model_61,0.127
model_1,model_62,0.125
model_1,model_63,0.125
model_1,model_64,0.130
model_1,model_65,0.125
model_1,model_66,0.153
model_1,model_67,0.135
model_1,model_68,0.125
model_1,model_69,0.125
model_1,model_70,0.140
model_1,model_71,0.125
model_1,model_72,0.125
model_1,model_73,0.127
model_1,model_74,0.139
model_1,model_75,0.134
model_1,model_76,0.141
model_1,model_77,0.130
model_1,model_78,0.125
model_1,model_79,0.138
model_1,model_80,0.125
model_1,model_81,0.125
model_1,model_82,0.125
model_1,model_83,0.154
model_1,model_84,0.129
model_1,model_85,0.126
model_1,model_86,0.129
model_1,model_87,0.429
model_1,model_88,0.132
model_1,model_89,0.125
model_1,model_90,0.125
model_1,model_91,0.125
model_1,model_92,0.567
model_2,model_0,0.102
model_2,model_1,0.125
model_2,model_2,1.000
model_2,model_3,0.188
model_2,model_4,0.722
model_2,model_5,0.161
model_2,model_6,0.740
model_2,model_7,0.617
model_2,model_8,0.733
model_2,model_9,0.623
model_2,model_10,0.711
model_2,model_11,0.781
model_2,model_12,0.665
model_2,model_13,0.755
model_2,model_14,0.125
model_2,model_15,0.787
model_2,model_16,0.734
model_2,model_17,0.224
model_2,model_18,0.698
model_2,model_19,0.690
model_2,model_20,0.710
model_2,model_21,0.785
model_2,model_22,0.732
model_2,model_23,0.729
model_2,model_24,0.683
model_2,model_25,0.670
model_2,model_26,0.664
model_2,model_27,0.802
model_2,model_28,0.581
model_2,model_29,0.708
model_2,model_30,0.658
model_2,model_31,0.782
model_2,model_32,0.594
model_2,model_33,0.568
model_2,model_34,0.621
model_2,model_35,0.687
model_2,model_36,0.718
model_2,model_37,0.819
model_2,model_38,0.704
model_2,model_39,0.781
model_2,model_40,0.673
model_2,model_41,0.743
model_2,model_42,0.124
model_2,model_43,0.734
model_2,model_44,0.557
model_2,model_45,0.224
model_2,model_46,0.685
model_2,model_47,0.765
model_2,model_48,0.133
model_2,model_49,0.793
model_2,model_50,0.774
model_2,model_51,0.585
model_2,model_52,0.225
model_2,model_53,0.629
model_2,model_54,0.198
model_2,model_55,0.722
model_2,model_56,0.705
model_2,model_57,0.689
model_2,model_58,0.766
model_2,model_59,0.732
model_2,model_60,0.657
model_2,model_61,0.734
model_2,model_62,0.724
model_2,model_63,0.773
model_2,model_64,0.787
model_2,model_65,0.685
model_2,model_66,0.601
model_2,model_67,0.691
model_2,model_68,0.677
model_2,model_69,0.714
model_2,model_70,0.686
model_2,model_71,0.633
model_2,model_72,0.599
model_2,model_73,0.603
model_2,model_74,0.682
model_2,model_75,0.645
model_2,model_76,0.704
model_2,model_77,0.728
model_2,model_78,0.592
model_2,model_79,0.710
model_2,model_80,0.747
model_2,model_81,0.706
model_2,model_82,0.729
model_2,model_83,0.615
model_2,model_84,0.535
model_2,model_85,0.671
model_2,model_86,0.568
model_2,model_87,0.191
model_2,model_88,0.689
model_2,model_89,0.639
model_2,model_90,0.802
model_2,model_91,0.619
model_2,model_92,0.153
model_3,model_0,0.555
model_3,model_1,0.344
model_3,model_2,0.188
model_3,model_3,1.000
model_3,model_4,0.179
model_3,model_5,0.663
model_3,model_6,0.156
model_3,model_7,0.293
model_3,model_8,0.152
model_3,model_9,0.153
model_3,model_10,0.151
model_3,model_11,0.167
model_3,model_12,0.151
model_3,model_13,0.151
model_3,model_14,0.263
model_3,model_15,0.203
model_3,model_16,0.147
model_3,model_17,0.736
model_3,model_18,0.219
model_3,model_19,0.159
model_3,model_20,0.211
model_3,model_21,0.200
model_3,model_22,0.150
model_3,model_23,0.157
model_3,model_24,0.165
model_3,model_25,0.154
model_3,model_26,0.215
model_3,model_27,0.209
model_3,model_28,0.151
model_3,model_29,0.206
model_3,model_30,0.169
model_3,model_31,0.205
model_3,model_32,0.149
model_3,model_33,0.151
model_3,model_34,0.151
model_3,model_35,0.150
model_3,model_36,0.183
model_3,model_37,0.170
model_3,model_38,0.210
model_3,model_39,0.206
model_3,model_40,0.231
model_3,model_41,0.176
model_3,model_42,0.465
model_3,model_43,0.178
model_3,model_44,0.151
model_3,model_45,0.740
model_3,model_46,0.199
model_3,model_47,0.223
model_3,model_48,0.495
model_3,model_49,0.158
model_3,model_50,0.185
model_3,model_51,0.151
model_3,model_52,0.745
model_3,model_53,0.151
model_3,model_54,0.800
model_3,model_55,0.223
model_3,model_56,0.153
model_3,model_57,0.219
model_3,model_58,0.201
model_3,model_59,0.180
model_3,model_60,0.151
model_3,model_61,0.155
model_3,model_62,0.164
model_3,model_63,0.199
model_3,model_64,0.168
model_3,model_65,0.151
model_3,model_66,0.214
model_3,model_67,0.189
model_3,model_68,0.146
model_3,model_69,0.152
model_3,model_70,0.228
model_3,model_71,0.152
model_3,model_72,0.153
model_3,model_73,0.156
model_3,model_74,0.177
model_3,model_75,0.171
model_3,model_76,0.224
model_3,model_77,0.209
model_3,model_78,0.151
model_3,model_79,0.182
model_3,model_80,0.146
model_3,model_81,0.150
model_3,model_82,0.153
model_3,model_83,0.203
model_3,model_84,0.167
model_3,model_85,0.152
model_3,model_86,0.189
model_3,model_87,0.634
model_3,model_88,0.194
model_3,model_89,0.151
model_3,model_90,0.151
model_3,model_91,0.151
model_3,model_92,0.574
model_4,model_0,0.106
model_4,model_1,0.125
model_4,model_2,0.722
model_4,model_3,0.179
model_4,model_4,1.000
model_4,model_5,0.168
model_4,model_6,0.781
model_4,model_7,0.600
model_4,model_8,0.839
model_4,model_9,0.661
model_4,model_10,0.774
model_4,model_11,0.792
model_4,model_12,0.848
model_4,model_13,0.835
model_4,model_14,0.125
model_4,model_15,0.729
model_4,model_16,0.754
model_4,model_17,0.196
model_4,model_18,0.708
model_4,model_19,0.691
model_4,model_20,0.811
model_4,model_21,0.753
model_4,model_22,0.765
model_4,model_23,0.810
model_4,model_24,0.775
model_4,model_25,0.827
model_4,model_26,0.664
model_4,model_27,0.711
model_4,model_28,0.605
model_4,model_29,0.749
model_4,model_30,0.749
model_4,model_31,0.709
model_4,model_32,0.636
model_4,model_33,0.619
model_4,model_34,0.708
model_4,model_35,0.673
model_4,model_36,0.779
model_4,model_37,0.719
model_4,model_38,0.756
model_4,model_39,0.710
model_4,model_40,0.697
model_4,model_41,0.814
model_4,model_42,0.124
model_4,model_43,0.805
model_4,model_44,0.594
model_4,model_45,0.197
model_4,model_46,0.754
model_4,model_47,0.714
model_4,model_48,0.132
model_4,model_49,0.762
model_4,model_50,0.846
model_4,model_51,0.597
model_4,model_52,0.213
model_4,model_53,0.736
model_4,model_54,0.192
model_4,model_55,0.721
model_4,model_56,0.715
model_4,model_57,0.759
model_4,model_58,0.697
model_4,model_59,0.790
model_4,model_60,0.755
model_4,model_61,0.806
model_4,model_62,0.760
model_4,model_63,0.762
model_4,model_64,0.745
model_4,model_65,0.703
model_4,model_66,0.594
model_4,model_67,0.723
model_4,model_68,0.804
model_4,model_69,0.747
model_4,model_70,0.670
model_4,model_71,0.721
model_4,model_72,0.662
model_4,model_73,0.653
model_4,model_74,0.722
model_4,model_75,0.708
model_4,model_76,0.701
model_4,model_77,0.640
model_4,model_78,0.595
model_4,model_79,0.738
model_4,model_80,0.812
model_4,model_81,0.725
model_4,model_82,0.647
model_4,model_83,0.635
model_4,model_84,0.511
model_4,model_85,0.721
model_4,model_86,0.675
model_4,model_87,0.154
model_4,model_88,0.699
model_4,model_89,0.637
model_4,model_90,0.701
model_4,model_91,0.592
model_4,model_92,0.157
model_5,model_0,0.475
model_5,model_1,0.450
model_5,model_2,0.161
model_5,model_3,0.663
model_5,model_4,0.168
model_5,model_5,1.000
model_5,model_6,0.177
model_5,model_7,0.275
model_5,model_8,0.149
model_5,model_9,0.148
model_5,model_10,0.149
model_5,model_11,0.173
model_5,model_12,0.157
model_5,model_13,0.160
model_5,model_14,0.335
model_5,model_15,0.177
model_5,model_16,0.161
model_5,model_17,0.652
model_5,model_18,0.202
model_5,model_19,0.148
model_5,model_20,0.198
model_5,model_21,0.164
model_5,model_22,0.158
model_5,model_23,0.184
model_5,model_24,0.160
model_5,model_25,0.151
model_5,model_26,0.205
model_5,model_27,0.173
model_5,model_28,0.148
model_5,model_29,0.192
model_5,model_30,0.146
model_5,model_31,0.169
model_5,model_32,0.148
model_5,model_33,0.149
model_5,model_34,0.148
model_5,model_35,0.148
model_5,model_36,0.175
model_5,model_37,0.162
model_5,model_38,0.167
model_5,model_39,0.170
model_5,model_40,0.214
model_5,model_41,0.162
model_5,model_42,0.600
model_5,model_43,0.162
model_5,model_44,0.148
model_5,model_45,0.648
model_5,model_46,0.167
model_5,model_47,0.202
model_5,model_48,0.681
model_5,model_49,0.166
model_5,model_50,0.160
model_5,model_51,0.148
model_5,model_52,0.651
model_5,model_53,0.148
model_5,model_54,0.704
model_5,model_55,0.206
model_5,model_56,0.150
model_5,model_57,0.187
model_5,model_58,0.185
model_5,model_59,0.169
model_5,model_60,0.148
model_5,model_61,0.152
model_5,model_62,0.158
model_5,model_63,0.179
model_5,model_64,0.191
model_5,model_65,0.149
model_5,model_66,0.204
model_5,model_67,0.180
model_5,model_68,0.152
model_5,model_69,0.160
model_5,model_70,0.208
model_5,model_71,0.149
model_5,model_72,0.151
model_5,model_73,0.152
model_5,model_74,0.174
model_5,model_75,0.165
model_5,model_76,0.181
model_5,model_77,0.197
model_5,model_78,0.148
model_5,model_79,0.173
model_5,model_80,0.159
model_5,model_81,0.173
model_5,model_82,0.162
model_5,model_83,0.197
model_5,model_84,0.163
model_5,model_85,0.151
model_5,model_86,0.178
model_5,model_87,0.740
model_5,model_88,0.183
model_5,model_89,0.149
model_5,model_90,0.180
model_5,model_91,0.148
model_5,model_92,0.802
model_6,model_0,0.113
model_6,model_1,0.128
model_6,model_2,0.740
model_6,model_3,0.156
model_6,model_4,0.781
model_6,model_5,0.177
model_6,model_6,1.000
model_6,model_7,0.604
model_6,model_8,0.881
model_6,model_9,0.621
model_6,model_10,0.736
model_6,model_11,0.783
model_6,model_12,0.849
model_6,model_13,0.799
model_6,model_14,0.127
model_6,model_15,0.740
model_6,model_16,0.822
model_6,model_17,0.221
model_6,model_18,0.674
model_6,model_19,0.679
model_6,model_20,0.792
model_6,model_21,0.778
model_6,model_22,0.723
model_6,model_23,0.862
model_6,model_24,0.759
model_6,model_25,0.858
model_6,model_26,0.657
model_6,model_27,0.726
model_6,model_28,0.605
model_6,model_29,0.720
model_6,model_30,0.707
model_6,model_31,0.751
model_6,model_32,0.621
model_6,model_33,0.600
model_6,model_34,0.673
model_6,model_35,0.661
model_6,model_36,0.719
model_6,model_37,0.701
model_6,model_38,0.734
model_6,model_39,0.753
model_6,model_40,0.694
model_6,model_41,0.817
model_6,model_42,0.127
model_6,model_43,0.853
model_6,model_44,0.598
model_6,model_45,0.221
model_6,model_46,0.742
model_6,model_47,0.746
model_6,model_48,0.138
model_6,model_49,0.794
model_6,model_50,0.836
model_6,model_51,0.598
model_6,model_52,0.222
model_6,model_53,0.741
model_6,model_54,0.170
model_6,model_55,0.709
model_6,model_56,0.702
model_6,model_57,0.739
model_6,model_58,0.708
model_6,model_59,0.797
model_6,model_60,0.771
model_6,model_61,0.821
model_6,model_62,0.800
model_6,model_63,0.749
model_6,model_64,0.736
model_6,model_65,0.678
model_6,model_66,0.605
model_6,model_67,0.713
model_6,model_68,0.809
model_6,model_69,0.777
model_6,model_70,0.667
model_6,model_71,0.678
model_6,model_72,0.636
model_6,model_73,0.617
model_6,model_74,0.730
model_6,model_75,0.694
model_6,model_76,0.653
model_6,model_77,0.630
model_6,model_78,0.605
model_6,model_79,0.730
model_6,model_80,0.800
model_6,model_81,0.710
model_6,model_82,0.698
model_6,model_83,0.601
model_6,model_84,0.498
model_6,model_85,0.684
model_6,model_86,0.671
model_6,model_87,0.162
model_6,model_88,0.693
model_6,model_89,0.630
model_6,model_90,0.824
model_6,model_91,0.580
model_6,model_92,0.164
model_7,model_0,0.204
model_7,model_1,0.186
model_7,model_2,0.617
model_7,model_3,0.293
model_7,model_4,0.600
model_7,model_5,0.275
model_7,model_6,0.604
model_7,model_7,1.000
model_7,model_8,0.639
model_7,model_9,0.675
model_7,model_10,0.599
model_7,model_11,0.670
model_7,model_12,0.631
model_7,model_13,0.645
model_7,model_14,0.146
model_7,model_15,0.734
model_7,model_16,0.638
model_7,model_17,0.329
model_7,model_18,0.743
model_7,model_19,0.708
model_7,model_20,0.621
model_7,model_21,0.656
model_7,model_22,0.677
model_7,model_23,0.618
model_7,model_24,0.522
model_7,model_25,0.615
model_7,model_26,0.749
model_7,model_27,0.644
model_7,model_28,0.638
model_7,model_29,0.696
model_7,model_30,0.695
model_7,model_31,0.675
model_7,model_32,0.641
model_7,model_33,0.673
model_7,model_34,0.678
model_7,model_35,0.639
model_7,model_36,0.728
model_7,model_37,0.618
model_7,model_38,0.690
model_7,model_39,0.675
model_7,model_40,0.749
model_7,model_41,0.611
model_7,model_42,0.212
model_7,model_43,0.622
model_7,model_44,0.658
model_7,model_45,0.331
model_7,model_46,0.700
model_7,model_47,0.739
model_7,model_48,0.228
model_7,model_49,0.588
model_7,model_50,0.605
model_7,model_51,0.653
model_7,model_52,0.329
model_7,model_53,0.590
model_7,model_54,0.298
model_7,model_55,0.752
model_7,model_56,0.668
model_7,model_57,0.733
model_7,model_58,0.731
model_7,model_59,0.645
model_7,model_60,0.591
model_7,model_61,0.627
model_7,model_62,0.536
model_7,model_63,0.676
model_7,model_64,0.713
model_7,model_65,0.706
model_7,model_66,0.755
model_7,model_67,0.717
model_7,model_68,0.588
model_7,model_69,0.551
model_7,model_70,0.729
model_7,model_71,0.694
model_7,model_72,0.684
model_7,model_73,0.673
model_7,model_74,0.723
model_7,model_75,0.689
model_7,model_76,0.718
model_7,model_77,0.575
model_7,model_78,0.628
model_7,model_79,0.773
model_7,model_80,0.653
model_7,model_81,0.734
model_7,model_82,0.537
model_7,model_83,0.738
model_7,model_84,0.641
model_7,model_85,0.686
model_7,model_86,0.679
model_7,model_87,0.285
model_7,model_88,0.702
model_7,model_89,0.682
model_7,model_90,0.579
model_7,model_91,0.629
model_7,model_92,0.259
model_8,model_0,0.089
model_8,model_1,0.125
model_8,model_2,0.733
model_8,model_3,0.152
model_8,model_4,0.839
model_8,model_5,0.149
