model_0,model_0,1.000
model_0,model_1,0.879
model_0,model_2,0.737
model_0,model_3,0.799
model_0,model_4,0.801
model_0,model_5,0.685
model_1,model_0,0.879
model_1,model_1,1.000
model_1,model_2,0.728
model_1,model_3,0.750
model_1,model_4,0.788
model_1,model_5,0.656
model_2,model_0,0.737
model_2,model_1,0.728
model_2,model_2,1.000
model_2,model_3,0.751
model_2,model_4,0.720
model_2,model_5,0.679
model_3,model_0,0.799
model_3,model_1,0.750
model_3,model_2,0.751
model_3,model_3,1.000
model_3,model_4,0.812
model_3,model_5,0.761
model_4,model_0,0.801
model_4,model_1,0.788
model_4,model_2,0.720
model_4,model_3,0.812
model_4,model_4,1.000
model_4,model_5,0.740
model_5,model_0,0.685
model_5,model_1,0.656
model_5,model_2,0.679
model_5,model_3,0.761
model_5,model_4,0.740
model_5,model_5,1.000
model_0,model_0,1.000
model_0,model_1,0.874
model_0,model_2,0.735
model_0,model_3,0.795
model_0,model_4,0.803
model_0,model_5,0.688
model_1,model_0,0.874
model_1,model_1,1.000
model_1,model_2,0.734
model_1,model_3,0.746
model_1,model_4,0.788
model_1,model_5,0.653
model_2,model_0,0.735
model_2,model_1,0.734
model_2,model_2,1.000
model_2,model_3,0.758
model_2,model_4,0.720
model_2,model_5,0.673
model_3,model_0,0.795
model_3,model_1,0.746
model_3,model_2,0.758
model_3,model_3,1.000
model_3,model_4,0.812
model_3,model_5,0.753
model_4,model_0,0.803
model_4,model_1,0.788
model_4,model_2,0.720
model_4,model_3,0.812
model_4,model_4,1.000
model_4,model_5,0.735
model_5,model_0,0.688
model_5,model_1,0.653
model_5,model_2,0.673
model_5,model_3,0.753
model_5,model_4,0.735
model_5,model_5,1.000
